Date,Category,Item,SalesQuantity,Price
2024-02-08,Accessories,Bags,4,150.89
2023-08-05,Casual Wear,Jeans,18,149.93
2024-05-26,Accessories,Bags,76,90.17
2024-06-06,Casual Wear,T-Shirts,28,54.21
2023-10-18,Accessories,Bags,72,47.78
2024-01-15,Accessories,Hat,29,95.35
2023-09-02,Formal Wear,Suits,98,163.11
2024-03-22,Accessories,Hat,44,62.8
2023-10-03,Casual Wear,Shorts,14,27.62
2023-07-08,Casual Wear,Shorts,45,124.71
2024-02-06,Casual Wear,Hoodie,69,33.72
2024-06-02,Formal Wear,Suits,71,65.7
2024-01-12,Accessories,Scarves,74,46.53
2024-01-01,Casual Wear,T-Shirts,85,53.3
2023-11-25,Formal Wear,Suits,30,174.63
2024-05-18,Formal Wear,Dress Shirts,59,130.78
2024-03-23,Formal Wear,Suits,48,77.5
2024-01-02,Accessories,Scarves,90,187.96
2023-09-13,Accessories,Bags,78,130.65
2024-05-06,Accessories,Hats,21,97.83
2023-08-06,Formal Wear,Trousers,89,115.82
2024-03-29,Accessories,Scarves,99,157.44
2023-12-20,Casual Wear,T-Shirts,41,86.22
2024-02-01,Casual Wear,Jeans,73,176.51
2023-07-03,Formal Wear,Suits,84,104.85
2023-09-08,Accessories,Hat,19,60.33
2023-11-13,Casual Wear,Shorts,96,121.07
2023-10-13,Accessories,Hat,47,51.67
2024-04-16,Casual Wear,Hoodie,12,153.6
2023-10-21,Casual Wear,Jeans,81,40.4
2024-05-31,Accessories,Hat,77,22.07
2023-10-15,Formal Wear,Trousers,60,110.53
2024-01-18,Accessories,Bags,88,146.94
2024-01-20,Accessories,Scarves,99,131.78
2023-12-15,Casual Wear,Shorts,56,40.05
2024-03-20,Casual Wear,Shorts,65,154.77
2023-09-12,Accessories,Bags,81,66.7
2023-06-25,Accessories,Hats,20,81.04
2024-02-04,Casual Wear,T-Shirts,77,71.59
2024-05-01,Casual Wear,T-Shirts,47,176.96
2024-06-05,Formal Wear,Suits,8,55.77
2023-11-14,Accessories,Bags,11,149.06
2024-05-06,Casual Wear,Jeans,17,135.35
2024-02-28,Accessories,Hats,34,110.26
2024-05-07,Accessories,Hat,28,186.49
2024-02-09,Accessories,Hats,92,69.23
2023-11-05,Accessories,Scarves,57,180.93
2023-06-19,Formal Wear,Suits,32,52.69
2023-09-25,Formal Wear,Suits,76,115.25
2024-01-16,Accessories,Hats,1,23.49
2023-07-17,Accessories,Bags,30,22.81
2024-06-01,Casual Wear,Shorts,10,107.69
2023-08-20,Formal Wear,Trousers,63,50.7
2023-06-24,Casual Wear,Hoodie,32,159.08
2024-05-06,Formal Wear,Suits,13,28.42
2023-07-28,Formal Wear,Dress Shirts,55,88.11
2024-02-15,Accessories,Bags,87,134.16
2024-04-26,Accessories,Bags,8,86.5
2023-09-16,Formal Wear,Suits,32,46.4
2024-05-31,Accessories,Hat,18,90.16
2023-09-04,Formal Wear,Dress Shirts,32,176.15
2024-01-07,Casual Wear,Hoodie,71,28.6
2024-05-25,Accessories,Bags,12,186.01
2023-11-02,Casual Wear,Jeans,53,102.27
2024-02-07,Casual Wear,Hoodie,8,41.28
2024-04-08,Casual Wear,Hoodie,34,186.04
2023-09-20,Formal Wear,Dress Shirts,55,142.35
2023-06-18,Accessories,Hat,20,46.08
2023-07-25,Casual Wear,T-Shirts,75,149.79
2023-08-22,Casual Wear,Shorts,8,19.53
2023-06-30,Formal Wear,Trousers,68,39.91
2023-12-28,Accessories,Bags,24,23.02
2023-12-20,Casual Wear,Jeans,52,32.78
2023-12-30,Accessories,Hats,75,122.96
2024-05-21,Accessories,Bags,54,134.9
2023-10-08,Accessories,Scarves,34,48.81
2023-10-17,Accessories,Scarves,31,60.47
2024-03-11,Casual Wear,Shorts,59,70.07
2024-04-12,Casual Wear,T-Shirts,59,128.02
2024-02-16,Accessories,Bags,10,112.15
2023-08-27,Accessories,Scarves,17,187.32
2023-12-11,Casual Wear,Jeans,48,64.15
2024-04-13,Formal Wear,Trousers,91,67.48
2023-09-06,Accessories,Bags,86,165.25
2024-03-25,Formal Wear,Trousers,14,188.4
2024-01-15,Casual Wear,Shorts,15,179.05
2023-08-23,Accessories,Hats,35,63.53
2024-03-08,Casual Wear,Shorts,27,140.62
2023-08-05,Formal Wear,Trousers,63,57.71
2023-07-23,Casual Wear,T-Shirts,82,90.48
2024-03-02,Formal Wear,Suits,1,73.38
2023-10-09,Casual Wear,Shorts,21,150.83
2023-12-11,Accessories,Hat,72,11.84
2023-11-01,Casual Wear,Jeans,70,16.85
2024-04-28,Formal Wear,Trousers,71,38.14
2024-02-16,Casual Wear,T-Shirts,40,79.28
2023-07-08,Casual Wear,Shorts,27,139.59
2024-01-11,Accessories,Bags,46,158.22
2024-03-19,Formal Wear,Trousers,96,39.37
2024-03-16,Casual Wear,Jeans,23,177.47
2023-08-26,Casual Wear,Jeans,95,185.65
2024-05-15,Formal Wear,Trousers,95,164.04
2024-06-08,Formal Wear,Suits,90,30.54
2024-02-25,Casual Wear,Hoodie,29,47.92
2023-10-18,Formal Wear,Dress Shirts,40,165.9
2024-01-18,Casual Wear,Jeans,4,135.41
2024-02-06,Formal Wear,Dress Shirts,36,174.23
2023-07-24,Formal Wear,Dress Shirts,83,106.79
2024-01-02,Accessories,Scarves,4,31.91
2023-09-11,Formal Wear,Suits,75,192.88
2023-12-29,Formal Wear,Suits,14,123.35
2023-08-28,Formal Wear,Trousers,41,92.91
2023-08-16,Accessories,Bags,50,180.91
2024-03-18,Casual Wear,Shorts,6,144.67
2024-03-19,Casual Wear,Jeans,47,91.95
2024-04-01,Accessories,Scarves,80,69.64
2024-04-21,Casual Wear,Shorts,65,68.76
2024-05-30,Formal Wear,Dress Shirts,52,142.47
2023-12-28,Accessories,Hats,25,89.88
2024-05-20,Formal Wear,Trousers,96,181.53
2024-04-27,Accessories,Scarves,52,114.11
2024-04-03,Casual Wear,Shorts,37,49.93
2024-05-03,Accessories,Scarves,60,93.94
2024-05-22,Accessories,Hats,66,99.91
2023-09-14,Accessories,Hats,85,26.11
2023-06-26,Accessories,Scarves,12,165.5
2024-05-26,Casual Wear,Shorts,29,163.25
2023-10-15,Casual Wear,T-Shirts,6,56.52
2024-04-14,Formal Wear,Trousers,99,23.84
2023-11-05,Formal Wear,Trousers,74,46.94
2023-08-31,Accessories,Hat,64,85.93
2023-09-20,Casual Wear,T-Shirts,97,173.48
2024-03-30,Casual Wear,Hoodie,29,43.42
2023-12-07,Accessories,Hat,7,115.91
2023-10-18,Casual Wear,Hoodie,18,162.27
2024-05-19,Accessories,Scarves,97,179.37
2023-07-19,Accessories,Hat,71,94.72
2024-04-06,Casual Wear,Hoodie,58,59.25
2024-05-15,Casual Wear,Shorts,99,157.76
2024-04-18,Formal Wear,Trousers,31,62.17
2023-11-09,Casual Wear,Shorts,31,61.63
2023-07-02,Formal Wear,Trousers,11,36.29
2023-07-20,Casual Wear,Hoodie,89,39.03
2024-03-14,Casual Wear,T-Shirts,54,87.44
2023-12-01,Accessories,Hat,54,21.83
2024-03-24,Formal Wear,Dress Shirts,99,120.98
2023-08-15,Accessories,Bags,98,119.38
2024-01-16,Formal Wear,Suits,46,66.74
2023-09-20,Formal Wear,Dress Shirts,69,152.03
2023-09-07,Accessories,Hats,63,51.69
2024-03-13,Formal Wear,Dress Shirts,4,83.88
2023-12-04,Accessories,Hat,93,41.36
2024-02-05,Formal Wear,Suits,80,111.48
2024-03-09,Formal Wear,Trousers,73,135.97
2023-06-28,Casual Wear,Hoodie,18,174.7
2024-05-15,Casual Wear,T-Shirts,34,82.03
2023-12-18,Casual Wear,Hoodie,42,74.13
2024-05-09,Formal Wear,Dress Shirts,97,190.73
2023-10-09,Formal Wear,Dress Shirts,11,99.36
2024-02-03,Accessories,Bags,45,52.6
2023-08-09,Casual Wear,T-Shirts,97,15.9
2024-01-27,Casual Wear,Jeans,3,128.05
2024-03-04,Casual Wear,Jeans,61,137.2
2023-07-01,Accessories,Hats,60,142.9
2024-01-19,Formal Wear,Suits,78,125.38
2023-12-03,Accessories,Bags,100,165.67
2024-03-02,Formal Wear,Suits,75,14.88
2024-01-28,Formal Wear,Trousers,87,182.52
2024-05-17,Formal Wear,Dress Shirts,92,47.68
2024-03-26,Accessories,Hats,14,142.47
2023-11-04,Formal Wear,Trousers,77,163.05
2023-07-30,Accessories,Bags,45,111.22
2024-05-12,Accessories,Scarves,9,106.13
2024-03-15,Formal Wear,Suits,54,166.24
2023-12-23,Casual Wear,Hoodie,47,130.76
2023-09-05,Formal Wear,Trousers,20,92.74
2023-11-17,Accessories,Scarves,79,163.56
2023-10-01,Accessories,Hat,60,92.76
2024-04-16,Accessories,Scarves,42,171.83
2023-07-10,Casual Wear,Shorts,58,56.33
2024-05-04,Formal Wear,Trousers,79,136.96
2024-06-08,Formal Wear,Suits,64,171.68
2023-07-09,Casual Wear,Hoodie,28,77.42
2023-06-19,Formal Wear,Dress Shirts,36,177.26
2023-08-31,Accessories,Scarves,72,11.93
2024-04-25,Casual Wear,T-Shirts,31,146.81
2023-07-16,Formal Wear,Trousers,98,55.66
2024-01-20,Formal Wear,Trousers,92,103.26
2023-07-27,Casual Wear,T-Shirts,38,52.1
2023-07-11,Accessories,Hats,40,136.15
2023-07-27,Formal Wear,Dress Shirts,71,110.88
2023-08-04,Formal Wear,Trousers,71,72.85
2024-01-27,Accessories,Hat,35,68.26
2023-07-29,Casual Wear,T-Shirts,93,46.59
2024-05-30,Casual Wear,Jeans,25,51.11
2024-04-16,Formal Wear,Dress Shirts,93,122.02
2023-12-26,Accessories,Scarves,13,168.2
2023-12-13,Formal Wear,Suits,47,44.09
2024-01-28,Casual Wear,Jeans,36,18.65
2024-04-29,Casual Wear,Shorts,90,189.38
2023-07-08,Accessories,Hat,14,175.82
2024-04-05,Accessories,Scarves,61,100.96
2023-12-18,Formal Wear,Suits,7,57.97
2024-02-21,Formal Wear,Suits,9,86.13
2024-04-13,Casual Wear,T-Shirts,20,38.35
2024-06-04,Accessories,Scarves,11,198.84
2023-11-29,Casual Wear,Hoodie,78,123.26
2023-11-05,Accessories,Hats,100,109.29
2023-09-22,Formal Wear,Dress Shirts,39,173.43
2024-05-19,Formal Wear,Dress Shirts,73,128.0
2024-01-19,Accessories,Bags,98,49.48
2024-06-07,Casual Wear,Shorts,85,25.43
2024-02-09,Casual Wear,Jeans,71,24.26
2024-06-09,Casual Wear,Hoodie,58,140.98
2023-10-12,Formal Wear,Dress Shirts,5,53.98
2023-06-25,Accessories,Scarves,90,173.33
2024-01-05,Casual Wear,Jeans,34,159.69
2023-12-08,Accessories,Hats,55,31.81
2024-02-23,Casual Wear,Jeans,35,167.06
2024-01-17,Casual Wear,T-Shirts,22,160.6
2024-04-04,Accessories,Scarves,57,33.63
2024-01-29,Accessories,Scarves,90,86.48
2024-04-25,Formal Wear,Trousers,70,103.82
2024-02-14,Casual Wear,T-Shirts,56,149.56
2024-06-04,Accessories,Scarves,4,27.35
2023-08-10,Accessories,Bags,98,137.73
2023-11-09,Formal Wear,Trousers,6,154.99
2023-09-07,Casual Wear,Hoodie,67,133.79
2023-09-19,Formal Wear,Suits,75,92.82
2024-01-21,Formal Wear,Suits,61,76.11
2023-07-31,Formal Wear,Dress Shirts,86,29.87
2024-04-11,Casual Wear,Shorts,53,141.8
2024-05-20,Formal Wear,Trousers,52,164.58
2023-07-13,Accessories,Bags,59,26.73
2023-09-13,Formal Wear,Dress Shirts,15,194.34
2023-10-12,Formal Wear,Trousers,1,134.96
2023-08-05,Accessories,Hat,53,20.3
2024-04-07,Accessories,Scarves,80,153.72
2023-08-07,Accessories,Hat,98,19.81
2024-02-23,Formal Wear,Trousers,17,186.26
2023-08-19,Formal Wear,Trousers,63,33.07
2023-11-28,Accessories,Hats,91,40.09
2024-05-05,Accessories,Bags,71,87.52
2023-08-15,Casual Wear,T-Shirts,60,189.94
2024-05-05,Accessories,Hats,64,187.2
2023-08-21,Formal Wear,Trousers,91,61.95
2024-01-14,Formal Wear,Dress Shirts,32,96.79
2024-01-16,Casual Wear,Hoodie,25,185.15
2023-10-30,Accessories,Hats,9,62.49
2023-10-15,Formal Wear,Dress Shirts,65,60.76
2024-01-06,Casual Wear,Shorts,93,66.73
2023-12-21,Accessories,Hat,20,94.84
2024-04-15,Formal Wear,Dress Shirts,43,114.86
2023-07-08,Accessories,Hat,59,187.24
2024-04-09,Casual Wear,Jeans,74,82.76
2024-05-23,Formal Wear,Suits,41,151.49
2023-09-27,Accessories,Hat,50,197.8
2023-11-08,Accessories,Hats,64,193.32
2024-03-03,Casual Wear,Shorts,13,176.1
2023-11-28,Formal Wear,Suits,68,182.98
2023-12-18,Casual Wear,Jeans,53,175.48
2023-12-14,Casual Wear,T-Shirts,61,158.49
2024-05-31,Formal Wear,Dress Shirts,80,141.61
2024-01-27,Accessories,Bags,43,171.94
2024-01-12,Accessories,Hat,41,129.09
2023-07-10,Formal Wear,Trousers,5,127.32
2023-08-02,Casual Wear,Shorts,30,151.89
2023-07-23,Formal Wear,Suits,98,130.41
2024-04-19,Casual Wear,Hoodie,22,141.86
2023-08-28,Casual Wear,T-Shirts,42,161.27
2023-09-24,Formal Wear,Dress Shirts,48,91.83
2024-04-25,Casual Wear,Hoodie,73,139.54
2024-01-13,Casual Wear,Jeans,23,25.0
2023-12-15,Formal Wear,Trousers,88,55.76
2023-11-20,Accessories,Hats,30,97.62
2023-12-13,Formal Wear,Dress Shirts,33,136.7
2023-07-12,Formal Wear,Dress Shirts,87,113.85
2023-11-28,Casual Wear,Hoodie,45,197.65
2024-04-21,Formal Wear,Trousers,55,141.16
2023-12-26,Formal Wear,Dress Shirts,26,199.88
2023-06-22,Formal Wear,Suits,31,82.46
2024-02-08,Formal Wear,Trousers,38,198.61
2024-03-21,Formal Wear,Suits,85,85.2
2023-07-07,Casual Wear,T-Shirts,78,151.58
2023-11-12,Formal Wear,Suits,78,162.37
2024-01-22,Casual Wear,Jeans,80,57.62
2024-04-22,Accessories,Hats,81,28.46
2023-08-18,Accessories,Bags,40,159.84
2023-08-19,Casual Wear,Shorts,94,34.97
2024-01-16,Formal Wear,Dress Shirts,96,88.95
2024-05-05,Casual Wear,Jeans,70,176.53
2023-10-31,Formal Wear,Trousers,65,183.56
2024-02-21,Casual Wear,Shorts,62,193.8
2023-09-26,Formal Wear,Trousers,44,162.8
2023-09-16,Formal Wear,Suits,19,153.29
2023-09-22,Casual Wear,Hoodie,72,79.5
2023-12-30,Formal Wear,Suits,34,111.95
2024-02-20,Formal Wear,Dress Shirts,87,152.31
2024-05-18,Formal Wear,Trousers,49,166.26
2024-04-08,Formal Wear,Suits,87,54.43
2023-08-28,Casual Wear,Shorts,79,52.06
2023-10-25,Casual Wear,Hoodie,90,67.42
2023-12-28,Formal Wear,Suits,18,18.62
2024-04-12,Casual Wear,Shorts,64,32.06
2024-02-05,Casual Wear,Jeans,50,96.19
2023-09-16,Accessories,Hat,76,151.03
2023-08-18,Casual Wear,Hoodie,84,28.81
2024-05-22,Formal Wear,Trousers,53,188.42
2024-06-01,Formal Wear,Suits,89,80.4
2023-09-18,Formal Wear,Dress Shirts,31,172.54
2024-02-24,Casual Wear,Shorts,70,181.32
2023-07-03,Accessories,Scarves,8,85.65
2023-10-30,Casual Wear,T-Shirts,59,27.42
2023-06-27,Casual Wear,T-Shirts,7,159.49
2023-08-27,Casual Wear,Jeans,73,48.99
2024-02-04,Accessories,Hats,76,51.03
2023-10-16,Casual Wear,Shorts,100,38.04
2023-08-10,Accessories,Bags,36,173.1
2023-12-10,Casual Wear,Jeans,70,57.62
2024-05-05,Casual Wear,T-Shirts,85,174.63
2024-04-02,Casual Wear,T-Shirts,46,160.1
2023-08-12,Casual Wear,Shorts,3,43.11
2024-04-08,Casual Wear,Jeans,95,89.98
2023-08-02,Casual Wear,T-Shirts,61,95.17
2024-04-26,Formal Wear,Trousers,76,30.72
2023-09-09,Accessories,Hats,79,18.24
2023-08-08,Accessories,Scarves,59,132.23
2024-03-17,Casual Wear,T-Shirts,62,170.99
2023-07-03,Formal Wear,Trousers,14,103.15
2023-09-12,Formal Wear,Suits,11,71.2
2023-10-25,Casual Wear,T-Shirts,17,62.25
2023-10-22,Accessories,Scarves,49,198.98
2023-06-18,Accessories,Scarves,59,106.05
2024-01-24,Formal Wear,Suits,90,31.74
2024-05-29,Accessories,Hats,56,95.8
2023-10-09,Casual Wear,Hoodie,44,167.21
2023-10-30,Formal Wear,Dress Shirts,94,28.07
2023-10-04,Formal Wear,Dress Shirts,86,58.43
2024-01-07,Casual Wear,Hoodie,9,27.33
2024-04-01,Casual Wear,T-Shirts,56,28.35
2023-10-03,Accessories,Scarves,17,115.71
2024-04-25,Accessories,Scarves,86,33.22
2023-09-19,Formal Wear,Trousers,97,90.36
2024-02-07,Accessories,Bags,37,124.08
2024-05-15,Formal Wear,Suits,74,106.41
2024-05-19,Casual Wear,Hoodie,29,170.98
2024-04-21,Formal Wear,Trousers,48,31.83
2024-02-18,Formal Wear,Trousers,29,163.37
2024-05-08,Accessories,Bags,78,186.53
2023-07-22,Accessories,Scarves,4,44.28
2024-04-16,Accessories,Scarves,44,76.69
2024-01-13,Casual Wear,Jeans,73,134.9
2023-09-14,Casual Wear,Jeans,95,130.3
2023-08-31,Casual Wear,T-Shirts,96,110.79
2024-03-29,Formal Wear,Dress Shirts,59,74.77
2023-08-15,Formal Wear,Dress Shirts,93,71.63
2024-01-04,Accessories,Bags,7,39.56
2023-12-19,Accessories,Bags,87,25.5
2023-10-01,Formal Wear,Trousers,55,102.28
2024-06-01,Formal Wear,Dress Shirts,35,50.96
2023-06-29,Accessories,Bags,45,91.68
2024-06-05,Formal Wear,Trousers,87,122.7
2023-10-22,Accessories,Scarves,6,51.9
2023-08-28,Accessories,Bags,1,48.84
2023-06-15,Casual Wear,Jeans,98,58.55
2023-12-15,Formal Wear,Suits,1,104.5
2023-12-30,Formal Wear,Suits,17,82.24
2024-04-03,Accessories,Hats,65,116.16
2023-10-30,Accessories,Scarves,10,85.44
2023-12-21,Accessories,Bags,56,13.56
2023-12-30,Casual Wear,Shorts,74,91.56
2023-11-18,Formal Wear,Trousers,82,89.36
2023-08-05,Casual Wear,Hoodie,3,193.58
2024-05-24,Casual Wear,Hoodie,89,184.76
